TransactionId,DivisionId,StateAb,DivisionNm,DivisionAb,Enrolment,Demographic,Nominations
24310,179,SA,Adelaide,ADEL,121606,Inner Metropolitan,6
24310,197,VIC,Aston,ASTO,110342,Outer Metropolitan,5
24310,198,VIC,Ballarat,BALL,114954,Provincial,7
24310,103,NSW,Banks,BANK,106253,Inner Metropolitan,6
24310,180,SA,Barker,BARK,118371,Rural,7
24310,104,NSW,Barton,BART,108992,Inner Metropolitan,6
24310,192,TAS,Bass,BASS,76532,Provincial,7
24310,318,ACT,Bean,BEAN,104482,Inner Metropolitan,8
24310,200,VIC,Bendigo,BEND,112755,Provincial,7
24310,105,NSW,Bennelong,BENN,108815,Inner Metropolitan,5
24310,106,NSW,Berowra,BERO,106331,Outer Metropolitan,9
24310,304,QLD,Blair,BLAI,113520,Provincial,9
24310,107,NSW,Blaxland,BLAX,105383,Inner Metropolitan,5
24310,310,QLD,Bonner,BONN,104599,Outer Metropolitan,6
24310,182,SA,Boothby,BOOT,123949,Outer Metropolitan,8
24310,155,QLD,Bowman,BOWM,109425,Outer Metropolitan,6
24310,193,TAS,Braddon,BRAD,79194,Rural,9
24310,108,NSW,Bradfield,BRFD,107304,Inner Metropolitan,5
24310,235,WA,Brand,BRAN,106998,Outer Metropolitan,8
24310,156,QLD,Brisbane,BRIS,115557,Inner Metropolitan,7
24310,201,VIC,Bruce,BRUC,109195,Outer Metropolitan,5
24310,317,WA,Burt,BURT,105236,Outer Metropolitan,9
24310,109,NSW,Calare,CALA,118099,Rural,7
24310,203,VIC,Calwell,CALW,107507,Outer Metropolitan,8
24310,101,ACT,Canberra,CANB,95348,Inner Metropolitan,6
24310,236,WA,Canning,CANN,107207,Outer Metropolitan,8
24310,157,QLD,Capricornia,CAPR,102585,Provincial,9
24310,204,VIC,Casey,CASE,113307,Rural,10
24310,111,NSW,Chifley,CHIF,111980,Outer Metropolitan,6
24310,205,VIC,Chisholm,CHIS,106323,Inner Metropolitan,9
24310,319,TAS,Clark,CLAR,73846,Inner Metropolitan,5
24310,112,NSW,Cook,COOK,106957,Inner Metropolitan,7
24310,320,VIC,Cooper,COOP,110836,Inner Metropolitan,8
24310,207,VIC,Corangamite,CORA,111601,Provincial,8
24310,208,VIC,Corio,CORI,110304,Provincial,4
24310,237,WA,Cowan,COWA,98665,Outer Metropolitan,7
24310,113,NSW,Cowper,COWP,124340,Provincial,8
24310,114,NSW,Cunningham,CUNN,115231,Provincial,6
24310,238,WA,Curtin,CURT,100422,Inner Metropolitan,8
24310,158,QLD,Dawson,DAWS,105248,Rural,9
24310,209,VIC,Deakin,DEAK,107493,Outer Metropolitan,8
24310,252,QLD,Dickson,DICK,108211,Outer Metropolitan,8
24310,115,NSW,Dobell,DOBE,117206,Provincial,6
24310,210,VIC,Dunkley,DUNK,110636,Outer Metropolitan,8
24310,312,WA,Durack,DURA,97104,Rural,7
24310,117,NSW,Eden-Monaro,EMON,114147,Rural,8
24310,159,QLD,Fadden,FADD,114061,Outer Metropolitan,7
24310,160,QLD,Fairfax,FAIR,114123,Rural,9
24310,118,NSW,Farrer,FARR,115525,Rural,9
24310,102,ACT,Fenner,FENN,96017,Inner Metropolitan,5
24310,161,QLD,Fisher,FISH,113134,Rural,7
24310,211,VIC,Flinders,FLIN,110703,Rural,9
24310,311,QLD,Flynn,FLYN,103061,Rural,8
24310,162,QLD,Forde,FORD,107261,Outer Metropolitan,6
24310,239,WA,Forrest,FORR,105452,Rural,8
24310,119,NSW,Fowler,FOWL,106941,Outer Metropolitan,5
24310,195,TAS,Franklin,FRAN,76619,Outer Metropolitan,5
